key_mlbam,key_retro,venue_name
2536,DUN01,TD Ballpark
5445,DYE01,Field of Dreams
2756,BUF05,Sahlen Field
5365,OMA01,TD Ameritrade Park
5010,FTB01,Fort Bragg Field
5381,LON01,London Stadium
3949,BIR01,Rickwood Field
5150,SEO01,Gocheok Sky Dome
2735,WIL02,BB&T Ballpark at Bowman Field
4705,ATL03,Truist Park
5325,ARL03,Globe Life Field in Arlington
5340,MEX02,Estadio Alfredo Harp Helu
2395,SFO03,Oracle Park
2680,SAN02,Petco Park
32,MIL06,American Family Field
680,SEA03,T-Mobile Park
2504,LBV01,The Stadium at the ESPN Wide World of Sports
2721,WAS10,Robert F. Kennedy Memorial Stadium
2701,MNT01,Walmart Park
3289,NYC20,Citi Field
3123,TOR01,Exhibition Stadium
3132,MIL04,Lloyd Street Grounds
3125,PIT06,Forbes Field
3136,DEN01,Mile High Stadium
2889,STL10,Busch Stadium
2394,DET05,Comerica Park
3135,MIN02,Metropolitan Stadium
3119,CHI10,Comiskey Park
3155,TOL04,Armory Park
26,PHI12,Veterans Stadium
3111,ARL01,Arlington Stadium
3126,WAS09,Griffith Stadium
21,HOU02,Astrodome
3110,WAS08,League Park (1904-10)
3159,CLE05,League Park (1901-09)
30,STL09,Busch Stadium I
3148,CHI09,South Side Park 
2503,LAS01,Cashman Field
3118,PHI10,Columbia Park
3149,STL06,Sportsman's Park (1902-08)
2681,PHI13,Citizens Bank Park
3157,DAY01,Fairview Park
3144,SEA01,Sick's Stadium
3121,NYC15,Ebbets Field
2392,HOU03,Daikin Park
3170,NWK01,Wiedenmeyer's Park
3141,STL05,Robison Field
3162,COL03,Neil Park (1902-03)
11,SEA02,The Kingdome
3134,BAL11,Memorial Stadium
3127,NYC13,Hilltop Park
3312,MIN04,Target Field
3140,NYC14,Polo Grounds IV
3142,SFO01,Seals Stadium
3143,PHI11,Shibe Park
23,MIL05,Milwaukee County Stadium
3128,BOS06,Huntington Avenue Grounds
3169,CHI08,West Side Park
3166,WAR01,Rocky Point Park
2535,SJU01,Hiram Bithorn Stadium
7,KAN06,Kauffman Stadium
3109,WAS07,League Park (1901-03)
18,CIN08,Cinergy Field
4169,MIA02,loanDepot park
3124,PIT05,Exposition Park
3147,BOS05,South End Grounds
3116,CLE07,Cleveland Municipal Stadium
3,BOS07,Fenway Park
1,ANA01,Angel Stadium
19,DEN02,Coors Field
3156,DET03,Burns Park
24,MON02,Olympic Stadium
29,SFO02,3Com Park at Candlestick Point
3165,GRA01,Ramona Park
12,STP01,Tropicana Field
25,NYC17,Shea Stadium
3113,PHI09,Baker Bowl
3309,WAS11,Nationals Park
3139,NYC10,Polo Grounds III
3133,LOS01,Los Angeles Memorial Coliseum
3112,ATL01,Atlanta-Fulton County Stadium
3138,CIN06,Palace of the Fans
3164,BAL09,Oriole Park
3129,MON01,Jarry Park
4589,SYD01,Sydney Cricket Ground
27,PIT07,Three Rivers Stadium
3168,STL07,Sportsman's Park (1909-66)
15,PHO01,Chase Field
2602,CIN09,Great American Ball Park
3115,BOS08,Braves Field
3150,NYC08,Washington Park 
3120,CIN07,Crosley Field
20,MIA01,Hard Rock Stadium
3153,LOS02,Wrigley Field
14,TOR02,Rogers Centre
10,OAK01,Oakland Coliseum
5,CLE08,Progressive Field
31,PIT08,PNC Park
13,ARL02,Choctaw Stadium
3137,KAN05,Municipal Stadium
16,ATL02,Turner Field
9,NYC16,Yankee Stadium I
2397,TOK01,Tokyo Dome
3158,FOR03,Jailhouse Flats
3117,HOU01,Colt Stadium
17,CHI11,Wrigley Field
2,BAL12,Oriole Park at Camden Yards
22,LOS03,Dodger Stadium
3131,CLE06,League Park (1910-46)
3167,JER02,Roosevelt Stadium
8,MIN03,Hubert H. Humphrey Metrodome
3163,COL04,Neil Park (1905-32)
4,CHI12,Rate Field
3114,DET02,Bennett Park
28,SAN01,Qualcomm Stadium
3313,NYC21,Yankee Stadium
3160,CIN05,League Park
6,DET04,Tiger Stadium
3154,HON01,Aloha Stadium
